URN;Name;Street;Locality;Address;Town;County;Postcode;Number
115950;Burnham Copse Junior School;Newchurch Road;;;Tadley;Hampshire;RG26 4HN;
115951;Burnham Copse Infant School;New Church Road;;;Tadley;Hampshire;RG26 4HN;
115952;Tadley Community Primary School;The Green;;;Tadley;Hampshire;RG26 3PB;1189813805
115953;Titchfield Primary School;Southampton Road;Titchfield;;Fareham;Hampshire;PO14 4AU;1329843322
115954;Lydlynch Infant School;"Lydlynch Road;";Totton;;Southampton;Hampshire;SO40 3DW;2380863188
115955;Eling Infant School and Nursery;School Road;Totton;;Southampton;Hampshire;SO40 9HX;2380862267
115956;Foxhills Junior School;Foxhills Lane;Ashurst;New Forest;Southampton;Hampshire;SO40 7ED;2380292126
115957;Wallop Primary School;School Lane;Nether Wallop;;Stockbridge;Hampshire;SO20 8EH;1264781216
115958;Waite End Junior School;Mill Road;;;Waterlooville;Hampshire;PO7 7DB;
115959;Wellow School;Romsey Road;West Wellow;;Romsey;Hampshire;SO51 6BG;
115960;Wherwell Primary School;Wherwell;;;Andover;Hampshire;SP11 7JP;1264860384
115961;Weyford Infant School;Mill Chase Road;;;Bordon;Hampshire;GU35 0EP;
115962;Stanmore Primary School;Stanmore Lane;Stanmore;;Winchester;Hampshire;SO22 4AJ;1962852941
115963;Winnall Primary School;Garbett Road;Winnall;;Winchester;Hampshire;SO23 0NY;1962853889
115964;Padnell Junior School;Padnell Road;Cowplain;;Waterlooville;Hampshire;PO8 8EA;2392252752
115965;Padnell Infant School;Padnell Avenue;Cowplain;;Waterlooville;Hampshire;PO8 8DS;2392263784
115966;Hart Plain Infant School;Hart Plain Avenue;Cowplain;;Hants;Hampshire;PO8 8RZ;2392262511
115967;Crofton Anne Dale Infant School;Cuckoo Lane;Stubbington;;Fareham;Hampshire;PO14 3PH;1329662025
115968;Fryern Infant School;Oakmount Road;Chandler's Ford;;Eastleigh;Hampshire;SO53 2LN;2380265931
115969;Vigo Junior School;Vigo Road;;;Andover;Hampshire;SP10 1JZ;
115970;Vigo Primary School;Vigo Road;;;Andover;Hampshire;SP10 1JZ;1264365166
115971;Winklebury Infant School;Willoughby Way;Winklebury;;Basingstoke;Hampshire;RG23 8AF;1256323244
115972;Shamblehurst Primary School;Wildern Lane;Hedge End;;Southampton;Hampshire;SO30 4EJ;1489782342
115973;Anton Infant School;Wellesley Road;;Anton Infant School;Andover;Hampshire;SP10 2HF;1264365168
115974;Oakridge Junior School;Oakridge Road;;;Basingstoke;Hampshire;RG21 5RR;1256473545
115975;South View Infant and Nursery School;Off Shooters Way;;;Basingstoke;Hampshire;RG21 5LL;1256321928
115976;Church Crookham Junior School;Tweseldown Road;;;Fleet;Hampshire;GU52 8BW;1252617664
115977;Orchard Infant School;Water Lane;Dibden Purlieu;;Southampton;Hampshire;SO45 4SB;2380843705
115978;Chineham Park Junior School;Shakespeare Road;Popley;;Basingstoke;Hampshire;RG24 9BP;
115979;Chineham Park Infant School;Shakespeare Road;Popley;;Basingstoke;Hampshire;RG24 9BP;
115980;Hiltingbury Infant School;Hiltingbury Road;Chandler's Ford;;Eastleigh;Hampshire;SO53 5NP;2380265414
115981;Frogmore Infant School;Green Lane;Frogmore;;Camberley;Surrey;GU17 0NY;1252872601
115982;Horndean Infant School;Merchistoun Road;Horndean;;Waterlooville;Hampshire;PO8 9LS;2392593453
115983;Pennington Infant School;Priestlands Road;Pennington;;Lymington;Hampshire;SO41 8HX;1590672910
115984;Westfields Junior School;School Lane;;;Yateley;Hampshire;GU46 6NN;1252408218
115985;Wootey Infant School;Wooteys Way;;;Alton;Hampshire;GU34 2JA;142083656
115986;Mengham Infant School;St Mary's Road;;;Hayling Island;Hampshire;PO11 9DD;2392462470
115987;Holbury Junior School;Whitefield Road;Holbury;;Southampton;Hampshire;SO45 2HW;
115988;Orchard Junior School;Water Lane;Dibden Purlieu;;Southampton;Hampshire;SO45 4SB;2380843162
115989;Locks Heath Infant School;Warsash Road;Locks Heath;;Southampton;Hampshire;SO31 9NZ;1489584180
115990;Harrison Primary School;Harrison Road;;;Fareham;Hampshire;PO16 7EQ;1329234016
115991;Warren Park Primary School;Sandleford Road;Leigh Park;;Havant;Hampshire;PO9 4LR;2392475502
115992;Sun Hill Infant School;Sun Lane;;;Alresford;Hampshire;SO24 9NB;1962732632
115993;Oakfield Primary School;Sylvia Crescent;Totton;;Southampton;Hampshire;SO40 3LN;
115994;Westfields Infant School;School Lane;;;Yateley;Hampshire;GU46 6NN;1252873603
115995;Shepherds Spring Junior School;Smannell Road;;;Andover;Hampshire;SP11 6JP;
115996;Shepherds Spring Infant School;Smannell Road;;;Andover;Hampshire;SP11 6JR;
115997;Fair Oak Junior School;Botley Road;Fair Oak;;Eastleigh;Hampshire;SO50 7AN;2380693195
115998;North Baddesley Junior School;Fleming Avenue;North Baddesley;;Southampton;Hampshire;SO52 9EP;2380411100
115999;Poulner Junior School;North Poulner Road;North Poulner;;Ringwood;Hampshire;BH24 3LA;1425474590
116000;Freegrounds Junior School;Hobb Lane;Hedge End;;Southampton;Hampshire;SO30 0GG;1489782295
116001;Merton Junior School;Romsey Close;Popley Way;;Basingstoke;Hampshire;RG24 9HB;1256326573
116002;Heatherside Infant School;Reading Road South;;;Fleet;Hampshire;GU52 7TH;1252617101
116003;Fleet Infant School;Velmead Road;;;Fleet;Hampshire;GU52 7LQ;1252613582
116004;Merton Infant School;Romsey Close;Popley Way;Popley;Basingstoke;Hampshire;RG24 9HB;1256324507
116005;Castle Hill Primary School;Winklebury Way;;;Basingstoke;Hampshire;RG23 8BN;1256473777
116006;Bishop's Waltham Junior School;Oak Road;Bishops Waltham;;Southampton;Hampshire;SO32 1EP;1489892368
116007;Hiltingbury Junior School;Hiltingbury Road;Chandler's Ford;;Eastleigh;Hampshire;SO53 5NP;2380261808
116008;Meadowlands Infant School;35 Woodcroft Lane;Lovedean;;Waterlooville;Hampshire;PO8 9QG;
116009;Crofton Hammond Infant School;Mancroft Avenue;Stubbington;;Fareham;Hampshire;PO14 2DE;1329663733
116010;Heatherside Junior School;Reading Road South;;;Fleet;Hampshire;GU52 7TH;1252617928
116011;Frogmore Junior School;Green Lane;Frogmore;;Camberley;Surrey;GU17 0NY;
116012;Sarisbury Infant School;Barnes Lane;Sarisbury Green;;Southampton;Hampshire;SO31 7BJ;1489573800
116013;Bishopswood Junior School;Barlows Road;;;Tadley;Hampshire;RG26 3NA;1189812738
116014;Knight's Enham Junior School;King Arthur's Way;;;Andover;Hampshire;SP10 4BS;1264394777
116015;Manor Field Junior School;Haydn Road;Brighton Hill;;Basingstoke;Hampshire;RG22 4DH;1256329826
116016;Kempshott Junior School;Old Down Close;Homesteads Road;Kempshott;Basingstoke;Hampshire;RG22 5LL;1256326713
116017;Marnel Junior School;Shetland Road;Popley Way;;Basingstoke;Hampshire;RG24 9PT;
116018;Weyford Nursery and Primary School;Weyford Nursery and Primary School;;Mill Chase Road;Bordon;Hampshire;GU35 0ET;
116019;Ranvilles Junior School;Oldbury Way;;;Fareham;Hampshire;PO14 3BN;1329841679
116020;Tweseldown Infant School;Nepal Gardens;Church Crookham;;Fleet;Hampshire;GU52 8LL;1252628843
116021;Liss Infant School;Hillbrow Road;;;Liss;Hampshire;GU33 7LQ;1730892666
116022;Purbrook Junior School;Aldermoor Road East;Purbrook;;Waterlooville;Hampshire;PO7 5NQ;2392254577
116023;Marnel Community Infant School;Shetland Road;Popley Way;;Basingstoke;Hampshire;RG24 9PT;1256329521
116024;Foxhills Infant School;Foxhills;Colbury;;Southampton;Hampshire;SO40 7ED;2380292453
116025;The Butts Primary School;Bolle Road;;;Alton;Hampshire;GU34 1PW;142084102
116026;Knights Enham Nursery and Infant School;King Arthurs Way;;;Andover;Hampshire;SP10 4BS;1264352151
116027;Bursledon Junior School(CA);Long Lane;Bursledon;;Southampton;Hampshire;SO31 8BZ;2380402738
116028;Ranvilles Infant School;Oldbury Way;;;Fareham;Hampshire;PO14 3BN;1329841653
116029;Holbury Infant School;Whitefield Road;Holbury;;Southampton;Hampshire;SO45 2HW;
116030;Northern Infant School;Richmond Rise;Portchester;;Fareham;Hampshire;PO16 8DG;2392370693
116031;Poulner Infant School and Nursery;North Poulner Road;;;Ringwood;Hampshire;BH24 3LA;1425472338
116032;Halterworth Community Primary School;Halterworth Lane;;;Romsey;Hampshire;SO51 9AD;
116033;Park Gate Primary School;Northmore Road;Park Gate;;Southampton;Hampshire;SO31 6LX;1489575444
116034;South Wonston Primary School;Downs Road;South Wonston;;Winchester;Hampshire;SO21 3EH;1962881311
116035;Bishopswood Infant School;Barlows Road;;;Tadley;Hampshire;RG26 3NA;1189812836
116036;Kempshott Infant School;Old Down Close;Homestead Road;Kempshott;Basingstoke;Hampshire;RG22 5LL;1256461795
116037;Wootey Junior School;Wooteys Way;;;Alton;Hampshire;GU34 2JA;142082532
116038;Roman Way Primary School;Roman Way;;;Andover;Hampshire;SP10 5JY;1264352118
116039;Old Basing Infant School;Milkingpen Lane;Old Basing;;Basingstoke;Hampshire;RG24 7DL;1256325704
116040;Rucstall Primary School;Holbein Close;Black Dam;;Basingstoke;Hampshire;RG21 3EX;1256466524
116041;Castle Hill Infant School;Greenbank;Winklebury Way;;Basingstoke;Hampshire;RG23 8BN;1256326899
116042;Scantabout Primary School;Ionic Close;Chandler's Ford;;Eastleigh;Hampshire;SO53 2NR;2380266892
116043;Denmead Junior School;Bere Road;Denmead;;Waterlooville;Hampshire;PO7 6PH;2392252735
